COD_IBGE;COD_SIAFI;NOME_ENTE;NOME_SIMPLIFICADO;SIGLA_UF;NOME_UF;LAT;LNG;POP_EST_2020;CAPITAL;NOME_ANTIGO_OU_GRAFIA_DIFERENTE;ALT;REGIAO;COD_UE_TSE_2016;IDHM;IDHM_RENDA;IDHM_EDUCACAO;IDHM_LONGEVIDADE
1200351;655;Marechal Thaumaturgo;MARECHAL THAUMATURGO;AC;Acre;-8.953.591.123;-7.279.026.591;19299;0;NULL;2.149.106.050.000;N;1040;0,501;0,726;0,361;0,479
1200385;151;Plácido de Castro;PLACIDO DE CASTRO;AC;Acre;-1.033.513.328;-6.718.826.009;19955;0;NULL;1.291.894.840.000;N;1511;0,622;0,786;0,517;0,593
1200393;657;Porto Walter;PORTO WALTER;AC;Acre;-8.266.666.363;-7.274.233.396;12241;0;NULL;2.018.059.610.000;N;1066;0,532;0,726;0,397;0,521
1200401;139;Rio Branco;RIO BRANCO;AC;Acre;-9.978.298.753;-678.105.287;413418;1;NULL;1.378.657.460.000;N;1392;0,727;0,798;0,661;0,729
1200427;659;Rodrigues Alves;RODRIGUES ALVES;AC;Acre;-7.733.602.034;-7.264.785.491;19351;0;NULL;1.895.854.260.000;N;1082;0,567;0,736;0,477;0,518
1200435;661;Santa Rosa do Purus;SANTA ROSA DO PURUS;AC;Acre;-9.443.406.537;-7.048.649.689;6717;0;NULL;2.167.242.300.000;N;1031;0,517;0,781;0,34;0,519
1200450;153;Senador Guiomard;SENADOR GUIOMARD;AC;Acre;-1.014.817.359;-6.774.317.236;23236;0;NULL;2.079.247.970.000;N;1538;0,64;0,786;0,513;0,649
1200500;145;Sena Madureira;SENA MADUREIRA;AC;Acre;-9.065.339.505;-6.865.568.406;46511;0;NULL;1.321.330.340.000;N;1457;0,603;0,81;0,456;0,593
1200609;147;Tarauacá;TARAUACA;AC;Acre;-8.155.668.592;-7.075.550.106;43151;0;NULL;1.721.444.660.000;N;1473;0,539;0,72;0,392;0,554
1200708;149;Xapuri;XAPURI;AC;Acre;-1.065.207.194;-6.850.629.481;19596;0;NULL;1.732.816.430.000;N;1490;0,599;0,773;0,448;0,621
1200807;649;Porto Acre;PORTO ACRE;AC;Acre;-9.600.858.231;-6.754.059.008;18824;0;NULL;1.343.227.930.000;N;1023;0,576;0,771;0,418;0,593
1300029;289;Alvarães;ALVARAES;AM;Amazonas;-3.216.583.769;-6.481.353.468;16220;0;NULL;461.160.140.000;N;2895;0,527;0,778;0,377;0,499
1300060;291;Amaturá;AMATURA;AM;Amazonas;-3.366.805.188;-6.820.961.464;11736;0;NULL;734.477.080.000;N;2917;0,56;0,773;0,455;0,499
1300086;293;Anamã;ANAMA;AM;Amazonas;-3.576.370.427;-6.140.590.348;13956;0;NULL;216.137.480.000;N;2933;0,594;0,741;0,526;0,537
