epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202113,2021-03-31,361,AP,Santana,1600600,city,21508,17472.54176,82,112,0,0.0052,123096,False,False
202113,2021-03-31,344,AP,Serra do Navio,1600055,city,1008,18367.34694,14,4,0,0.004,5488,False,False
202113,2021-03-31,340,AP,Tartarugalzinho,1600709,city,1815,10214.41837,0,10,0,0.0055,17769,False,False
202113,2021-03-31,352,AP,Vitória do Jari,1600808,city,3639,22388.33518,21,18,0,0.0049,16254,False,False
202113,2021-03-31,377,AP,,16,state,97542,11318.75796,632,1302,10,0.0133,861773,False,False
202113,2021-03-31,353,BA,Abaíra,2900108,city,241,2766.93456,0,9,0,0.0373,8710,False,False
202113,2021-03-31,321,BA,Abaré,2900207,city,583,2865.28727,3,2,0,0.0034,20347,False,False
202113,2021-03-31,344,BA,Acajutiba,2900306,city,429,2824.78436,3,13,0,0.0303,15187,False,False
202113,2021-03-31,362,BA,Adustina,2900355,city,507,2960.41107,0,9,0,0.0178,17126,False,False
202113,2021-03-31,345,BA,Água Fria,2900405,city,145,851.28867,0,7,1,0.0483,17033,False,False
202113,2021-03-31,350,BA,Aiquara,2900603,city,435,9850.54348,0,9,0,0.0207,4416,False,False
202113,2021-03-31,371,BA,Alagoinhas,2900702,city,10022,6579.26697,35,178,0,0.0178,152327,False,False
202113,2021-03-31,306,BA,Alcobaça,2900801,city,1148,5104.49088,17,16,0,0.0139,22490,False,False
202113,2021-03-31,343,BA,Almadina,2900900,city,564,10510.62244,1,9,0,0.016,5366,False,False
202113,2021-03-31,326,BA,Amargosa,2901007,city,2040,5448.57242,6,39,0,0.0191,37441,False,False
202113,2021-03-31,350,BA,Amélia Rodrigues,2901106,city,1618,6459.59757,4,32,1,0.0198,25048,False,False
202113,2021-03-31,317,BA,América Dourada,2901155,city,481,2989.43443,0,2,0,0.0042,16090,False,False
202113,2021-03-31,322,BA,Anagé,2901205,city,596,2758.36534,2,14,0,0.0235,21607,False,False
202113,2021-03-31,303,BA,Andaraí,2901304,city,588,4477.61194,3,5,0,0.0085,13132,False,False
202113,2021-03-31,297,BA,Andorinha,2901353,city,610,4206.02634,6,9,0,0.0148,14503,False,False
202113,2021-03-31,297,BA,Angical,2901403,city,357,2561.34309,2,6,0,0.0168,13938,False,False
202113,2021-03-31,326,BA,Anguera,2901502,city,296,2620.16465,0,1,0,0.0034,11297,False,False
202113,2021-03-31,305,BA,Antas,2901601,city,926,4753.83747,0,3,0,0.0032,19479,False,False
202113,2021-03-31,311,BA,Antônio Cardoso,2901700,city,289,2474.95076,0,6,0,0.0208,11677,False,False
202113,2021-03-31,297,BA,Antônio Gonçalves,2901809,city,532,4478.8685,4,5,0,0.0094,11878,False,False
202113,2021-03-31,315,BA,Aporá,2901908,city,395,2220.59816,2,12,0,0.0304,17788,False,False
202113,2021-03-31,315,BA,Apuarema,2901957,city,599,8203.23199,1,9,0,0.015,7302,False,False
202113,2021-03-31,322,BA,Araçás,2902054,city,503,4120.24902,0,7,0,0.0139,12208,False,False
202113,2021-03-31,338,BA,Aracatu,2902005,city,632,4844.76811,5,9,0,0.0142,13045,False,False
202113,2021-03-31,358,BA,Araci,2902104,city,3020,5526.27727,4,31,0,0.0103,54648,False,False
202113,2021-03-31,303,BA,Aramari,2902203,city,483,4214.29195,0,10,0,0.0207,11461,False,False
202113,2021-03-31,337,BA,Arataca,2902252,city,425,3877.38345,4,12,0,0.0282,10961,False,False
202113,2021-03-31,308,BA,Aratuípe,2902302,city,260,2942.17495,7,7,0,0.0269,8837,False,False
202113,2021-03-31,358,BA,Aurelino Leal,2902401,city,780,6903.26578,0,21,0,0.0269,11299,False,False
202113,2021-03-31,310,BA,Baianópolis,2902500,city,264,1895.3263,5,2,0,0.0076,13929,False,False
202113,2021-03-31,297,BA,Baixa Grande,2902609,city,498,2435.32691,2,6,0,0.012,20449,False,False
202113,2021-03-31,321,BA,Banzaê,2902658,city,785,5929.00302,0,6,0,0.0076,13240,False,False
202113,2021-03-31,366,BA,Barra,2902708,city,1324,2455.94509,15,22,0,0.0166,53910,False,False
202113,2021-03-31,298,BA,Barra da Estiva,2902807,city,1231,6036.68105,4,8,0,0.0065,20392,False,False
202113,2021-03-31,360,BA,Barra do Choça,2902906,city,1614,5171.58512,2,24,1,0.0149,31209,False,False
202113,2021-03-31,314,BA,Barra do Mendes,2903003,city,585,4229.01757,0,9,0,0.0154,13833,False,False
202113,2021-03-31,365,BA,Barra do Rocha,2903102,city,299,5327.86885,2,4,1,0.0134,5612,False,False
202113,2021-03-31,375,BA,Barreiras,2903201,city,10461,6664.11849,39,126,0,0.012,156975,False,False
202113,2021-03-31,297,BA,Barro Alto,2903235,city,597,3965.7234,3,4,0,0.0067,15054,False,False
202113,2021-03-31,326,BA,Barrocas,2903276,city,607,3769.01583,0,15,6,0.0247,16105,False,False
202113,2021-03-31,347,BA,Barro Preto,2903300,city,473,8682.08517,3,7,0,0.0148,5448,False,False
