CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade SUS por Município e Ano/mês compet.
Leitos cirúrgicos: Cirurgia geral
Período:Mar/2020-Abr/2021
"Município";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr"
"160053 Porto Grande";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"160060 Santana";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"170070 Alvorada";4;4;4;4;4;4;4;4;4;4;4;4;4;5
"170100 Ananás";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"170190 Araguacema";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"170200 Araguaçu";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"170210 Araguaína";84;84;85;85;85;85;85;85;85;85;85;85;85;85
"170220 Araguatins";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"170230 Arapoema";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"170240 Arraias";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"170255 Augustinópolis";17;17;17;17;17;5;5;5;5;5;5;5;5;5
"170550 Colinas do Tocantins";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"171670 Colméia";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"170610 Cristalândia";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"170700 Dianópolis";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"170730 Dueré";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"170820 Formoso do Araguaia";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"170900 Goiatins";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"170930 Guaraí";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"170950 Gurupi";23;23;23;23;23;23;23;23;23;23;23;23;23;23
"171050 Itacajá";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"171320 Miracema do Tocantins";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"171330 Miranorte";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"171360 Monte do Carmo";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"171420 Natividade";1;1;1;1;1;1;1;1;1;1;1;1;-;-
"172100 Palmas";38;38;38;38;38;38;38;11;11;11;11;11;11;11
"171610 Paraíso do Tocantins";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"171620 Paranã";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"171650 Pedro Afonso";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"171660 Peixe";6;6;6;6;4;4;4;4;4;4;4;4;4;4
